id,code,name,category,description,rate,unit,costCode
P01,,Van(s),Vehicle,,100.00,day,
P02,,Small Tools,General,,39.00,day,
P03,,1.5t Excavator,Earthmoving,,128.00,day,
P04,,3t Excavator,Earthmoving,,159.80,day,
P05,,6t Excavator,Earthmoving,,209.00,day,
P06,,9t Excavator,Earthmoving,,237.00,day,
P07,,14t Excavator,Earthmoving,,315.00,day,
P08,,21t Excavator,Earthmoving,,382.20,day,
P09,,D5 Dozer,Earthmoving,,368.00,day,
P10,,Pecker,Earthmoving,,38.50,day,
P11,,Dumper 1t,Earthmoving,,118.00,day,
P12,,Dumper 3t,Earthmoving,,146.00,day,
P13,,Dumper 6t,Earthmoving,,178.40,day,
P14,,Dumper 9t,Earthmoving,,210.80,day,
P15,,Dumper 20t,Earthmoving,,316.00,day,
P16,,Ramax,Compaction,,62.40,day,
P17,,Ped Roller,Compaction,,46.80,day,
P18,,80 Roller,Compaction,,78.00,day,
P19,,100 Roller,Compaction,,93.60,day,
P20,,120 Roller,Compaction,,134.80,day,
P21,,135 Roller,Compaction,,140.40,day,
P22,,161 Roller,Compaction,,189.00,day,
P23,,Padfoot,Compaction,,189.00,day,
P24,,Deadweight,Compaction,,210.80,day,
P25,,JCB 3CX,Earthmoving,,183.40,day,
P26,,Skidsteer,Earthmoving,,167.20,day,
P27,,Telehandler,Material Handling,,189.60,day,
P28,,Boom Pump,Concrete,,750.00,day,
P29,,Line Pump,Concrete,,500.00,day,
P30,,Power Float,Concrete,,81.80,day,
P31,,Mini Paver,Surfacing,,422.80,day,
P32,,Midi Paver,Surfacing,,487.00,day,
P33,,Paver,Surfacing,,581.80,day,
P34,,Chipper,Surfacing,,217.20,day,
P35,,350 Planer,Milling,,1215.00,day,
P36,,500mm Planer,Milling,,1310.00,day,
P37,,1m Planer,Milling,,1860.00,day,
P38,,1.5m Planer,Milling,,2200.00,day,
P39,,2m Planer,Milling,,3325.00,day,
P40,,Sweeper,Vehicle,,535.00,day,
P41,,Tippers,Vehicle,,625.00,day,
P42,,Tanker,Vehicle,,475.00,day,